Date;Price;Open;High;Low;Vol.;Change %
May 07, 2019;9,089.46;9011.52;9,160.18;8,928.57;130.71K;1.63%
May 06, 2019;8,943.52;9289.74;9,333.92;8,893.15;167.94K;-7.56%
Apr 30, 2019;9,674.53;9573.41;9,730.55;9,573.39;11.34B;0.54%
Apr 29, 2019;9,622.49;9775.95;9,822.82;9,597.09;15.55B;-1.62%
Apr 26, 2019;9,780.82;9852.94;9,927.74;9,774.75;14.06B;-1.28%
Apr 25, 2019;9,907.62;10186.23;10,209.14;9,902.02;17.28B;-3.21%
Apr 24, 2019;10,236.27;10162.38;10,239.37;10,023.91;16.13B;1.10%
Apr 23, 2019;10,124.66;10206.02;10,247.39;10,091.92;15.90B;-0.97%
Apr 22, 2019;10,224.31;10418.71;10,418.71;10,192.52;17.45B;-1.86%
Apr 19, 2019;10,418.24;10280.34;10,418.24;10,208.61;15.67B;1.27%
Apr 18, 2019;10,287.67;10338.50;10,363.85;10,267.31;15.73B;-0.55%
Apr 17, 2019;10,344.43;10288.45;10,410.65;10,257.56;18.83B;0.55%
Apr 16, 2019;10,287.64;9993.25;10,287.64;9,928.28;17.55B;2.33%
Apr 15, 2019;10,053.76;10294.82;10,365.31;10,048.83;16.81B;-0.78%
Apr 12, 2019;10,132.34;10138.09;10,186.47;10,053.81;14.34B;-0.26%
Apr 11, 2019;10,158.40;10420.65;10,437.45;10,149.38;17.95B;-2.65%
Apr 10, 2019;10,435.08;10403.24;10,529.74;10,328.61;20.65B;-0.01%
Apr 09, 2019;10,436.62;10368.03;10,438.99;10,304.73;18.99B;0.82%
Apr 08, 2019;10,351.87;10510.43;10,541.18;10,226.25;24.81B;-0.61%
Apr 04, 2019;10,415.80;10379.20;10,453.50;10,309.53;22.28B;0.73%
Apr 03, 2019;10,340.51;10199.97;10,350.57;10,166.67;21.04B;0.78%
Apr 02, 2019;10,260.36;10314.79;10,334.95;10,220.81;24.99B;-0.07%
Apr 01, 2019;10,267.70;9976.98;10,277.55;9,976.98;25.35B;3.64%
Mar 29, 2019;9,906.86;9556.30;9,906.86;9,554.07;20.27B;3.77%
Mar 28, 2019;9,546.51;9586.38;9,695.52;9,537.61;15.41B;-0.65%
Mar 27, 2019;9,609.44;9582.03;9,609.44;9,446.35;16.16B;1.01%
Mar 26, 2019;9,513.00;9753.17;9,780.08;9,487.10;19.56B;-1.95%
Mar 25, 2019;9,701.70;9705.02;9,858.08;9,680.94;20.58B;-1.80%
Mar 22, 2019;9,879.22;9871.99;9,891.83;9,692.25;20.31B;0.10%
Mar 21, 2019;9,869.80;9808.74;9,934.86;9,771.86;23.43B;0.71%
Mar 20, 2019;9,800.60;9828.07;9,848.77;9,642.67;20.41B;-0.40%
